4K频道,#genre#
CCTV6[1920*1080],http://61.150.160.70:6610/000000002000/201500000126/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV7[1920*1080],http://61.150.160.70:6610/000000002000/201500000130/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV8[1920*1080],http://61.150.160.70:6610/000000002000/201500000127/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV9[1920*1080],http://61.150.160.70:6610/000000002000/201500000131/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV10[1920*1080],http://61.150.160.70:6610/000000002000/201500000132/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV11[1920*1080],http://61.150.160.70:6610/000000002000/201500000389/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV12[1920*1080],http://61.150.160.70:6610/000000002000/201500000133/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV13[1920*1080],http://61.150.160.70:6610/000000002000/201500000460/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV13[768*576],http://61.150.160.70:6610/000000002000/201500000016/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV14[1920*1080],http://61.150.160.70:6610/000000002000/201500000134/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV15[1920*1080],http://61.150.160.70:6610/000000002000/201500000390/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV16[1920*1080],http://61.150.160.70:6610/000000002000/201500000501/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV17[1920*1080],http://61.150.160.70:6610/000000002000/201500000382/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV17[768*576],http://61.150.160.70:6610/000000002000/201500000381/index.m3u8?zte_offset=30&ispcode=2&starttime=
CETV1[1920*1080],http://61.150.160.70:6610/000000002000/201500000342/index.m3u8?zte_offset=30&ispcode=2&starttime=
CETV2[785*576],http://61.150.160.70:6610/000000002000/201500000391/index.m3u8?zte_offset=30&ispcode=2&starttime=
CETV4[1920*1080],http://61.150.160.70:6610/000000002000/201500000392/index.m3u8?zte_offset=30&ispcode=2&starttime=
CETV早期教育[1920*1080],http://61.150.160.70:6610/000000002000/201500000563/index.m3u8?zte_offset=30&ispcode=2&starttime=
CGTN[1920*1080],http://61.150.160.70:6610/000000002000/201500000019/index.m3u8?zte_offset=30&ispcode=2&starttime=
CGTN阿语[1920*1080],http://61.150.160.70:6610/000000002000/201500000497/index.m3u8?zte_offset=30&ispcode=2&starttime=
CGTN法语[1920*1080],http://61.150.160.70:6610/000000002000/201500000409/index.m3u8?zte_offset=30&ispcode=2&starttime=
