4K频道,#genre#
康巴卫视,http://192.168.0.1:4022/rtp/239.76.253.89:9000?fcc=124.232.149.47:15970
山东教育卫视,http://192.168.0.1:4022/rtp/239.76.252.191:9000?fcc=124.232.149.47:15970
江西卫视,http://192.168.0.1:4022/rtp/239.76.252.225:9000?fcc=124.232.149.47:15970
西藏卫视,http://192.168.0.1:4022/rtp/239.76.252.108:9000?fcc=124.232.149.47:15970

湖南频道,#genre#
湖南导视,http://192.168.0.1:4022/rtp/239.76.252.131:9000?fcc=124.232.149.47:15970
湖南经视,http://192.168.0.1:4022/rtp/239.76.252.116:9000?fcc=124.232.149.47:15970
湖南经视,http://192.168.0.1:4022/rtp/239.76.253.103:9000?fcc=124.232.149.47:15970
湖南娱乐,http://192.168.0.1:4022/rtp/239.76.252.121:9000?fcc=124.232.149.47:15970
湖南娱乐,http://192.168.0.1:4022/rtp/239.76.253.105:9000?fcc=124.232.149.47:15970
湖南电影,http://192.168.0.1:4022/rtp/239.76.252.119:9000?fcc=124.232.149.47:15970
湖南电影,http://192.168.0.1:4022/rtp/239.76.253.106:9000?fcc=124.232.149.47:15970
湖南电视剧,http://192.168.0.1:4022/rtp/239.76.252.118:9000?fcc=124.232.149.47:15970
湖南电视剧,http://192.168.0.1:4022/rtp/239.76.253.108:9000?fcc=124.232.149.47:15970
湖南都市,http://192.168.0.1:4022/rtp/239.76.252.117:9000?fcc=124.232.149.47:15970
湖南都市,http://192.168.0.1:4022/rtp/239.76.253.104:9000?fcc=124.232.149.47:15970
湖南国际,http://192.168.0.1:4022/rtp/239.76.252.124:9000?fcc=124.232.149.47:15970
湖南国际,http://192.168.0.1:4022/rtp/239.76.253.102:9000?fcc=124.232.149.47:15970
湖南爱晚,http://192.168.0.1:4022/rtp/239.76.252.123:9000?fcc=124.232.149.47:15970
湖南爱晚,http://192.168.0.1:4022/rtp/239.76.253.109:9000?fcc=124.232.149.47:15970
湖南教育,http://192.168.0.1:4022/rtp/239.76.252.233:9000?fcc=124.232.149.47:15970
金鹰卡通,http://192.168.0.1:4022/rtp/239.76.252.120:9000?fcc=124.232.149.47:15970
金鹰卡通,http://192.168.0.1:4022/rtp/239.76.253.107:9000?fcc=124.232.149.47:15970
金鹰纪实,http://192.168.0.1:4022/rtp/239.76.252.122:9000?fcc=124.232.149.47:15970
金鹰纪实,http://192.168.0.1:4022/rtp/239.76.253.110:9000?fcc=124.232.149.47:15970
茶频道,http://192.168.0.1:4022/rtp/239.76.252.239:9000?fcc=124.232.149.47:15970
先锋乒羽,http://192.168.0.1:4022/rtp/239.76.253.51:9000?fcc=124.232.149.47:15970
长沙新闻,http://192.168.0.1:4022/rtp/239.76.253.121:9000?fcc=124.232.149.47:15970
长沙政法,http://192.168.0.1:4022/rtp/239.76.253.122:9000?fcc=124.232.149.47:15970
长沙文旅,http://192.168.0.1:4022/rtp/239.76.255.42:9000?fcc=124.232.149.47:15970
宁乡综合,http://192.168.0.1:4022/rtp/239.76.255.57:9000?fcc=124.232.149.47:15970
长沙县新闻综合,http://192.168.0.1:4022/rtp/239.76.255.33:9000?fcc=124.232.149.47:15970
娄底公共,http://192.168.0.1:4022/rtp/239.76.255.19:9000?fcc=124.232.149.47:15970
娄底综合,http://192.168.0.1:4022/rtp/239.76.255.18:9000?fcc=124.232.149.47:15970
岳阳文旅都市,http://192.168.0.1:4022/rtp/239.76.255.8:9000?fcc=124.232.149.47:15970
岳阳新闻综合,http://192.168.0.1:4022/rtp/239.76.255.7:9000?fcc=124.232.149.47:15970
常德公共,http://192.168.0.1:4022/rtp/239.76.255.11:9000?fcc=124.232.149.47:15970
常德新闻综合,http://192.168.0.1:4022/rtp/239.76.255.10:9000?fcc=124.232.149.47:15970
