4K,#genre#
黑龙江卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228295/index.m3u8?servicetype=4&IASHttpSessionId=OTT
其他,#genre#
纪实科教,http://zzzzz.484947.xyz/PLTV/3/224/3221227699/index.m3u8?servicetype=4&IASHttpSessionId=OTT
睛彩篮球,http://zzzzz.484947.xyz/PLTV/3/224/3221228129/index.m3u8?servicetype=4&IASHttpSessionId=OTT
睛彩篮球,http://zzzzz.484947.xyz/PLTV/3/224/3221228234/index.m3u8?servicetype=4&IASHttpSessionId=OTT
睛彩竞技,http://zzzzz.484947.xyz/PLTV/3/224/3221228206/index.m3u8?servicetype=4&IASHttpSessionId=OTT
睛彩广场舞,http://zzzzz.484947.xyz/PLTV/3/224/3221228231/index.m3u8?servicetype=4&IASHttpSessionId=OTT
4K UHD,http://zzzzz.484947.xyz/PLTV/3/224/3221227506/index.m3u8?servicetype=4&IASHttpSessionId=OTT
4K UHD,http://zzzzz.484947.xyz/PLTV/3/224/3221228242/index.m3u8?servicetype=4&IASHttpSessionId=OTT
咪咕体育,http://zzzzz.484947.xyz/PLTV/3/224/3221228193/index.m3u8?servicetype=4&IASHttpSessionId=OTT
南京少儿,http://zzzzz.484947.xyz/PLTV/3/224/3221228661/index.m3u8?servicetype=4&IASHttpSessionId=OTT
